id,status,last_price_traded,total_matched,handicap,market_id,record_date
29163,ACTIVE,1.74,0.0,0.0,1.216170407,2023-07-18 12:00
29159,ACTIVE,1.73,0.0,0.0,1.216170490,2023-07-18 12:00
29179,ACTIVE,2.38,0.0,0.0,1.216170490,2023-07-18 12:00
29161,ACTIVE,2.02,0.0,0.0,1.216170536,2023-07-18 12:00
1093236,ACTIVE,1.98,0.0,0.0,1.216170536,2023-07-18 12:00
29160,ACTIVE,2.12,0.0,0.0,1.216170582,2023-07-18 12:00
7100968,ACTIVE,1.82,0.0,0.0,1.216170582,2023-07-18 12:00
29171,ACTIVE,2.14,0.0,0.0,1.216170628,2023-07-18 12:00
29157,ACTIVE,1.87,0.0,0.0,1.216170628,2023-07-18 12:00
29177,ACTIVE,1.88,0.0,0.0,1.216170674,2023-07-18 12:00
29164,ACTIVE,2.1,0.0,0.0,1.216170674,2023-07-18 12:00
29165,ACTIVE,2.96,0.0,0.0,1.216170720,2023-07-18 12:00
7100960,ACTIVE,1.51,0.0,0.0,1.216170720,2023-07-18 12:00
1033687,ACTIVE,2.6,0.0,0.0,1.216170766,2023-07-18 12:00
29166,ACTIVE,1.58,0.0,0.0,1.216170766,2023-07-18 12:00
29172,ACTIVE,2.88,0.0,0.0,1.216170812,2023-07-18 12:00
29175,ACTIVE,1.52,0.0,0.0,1.216170812,2023-07-18 12:00
29178,ACTIVE,1.84,0.0,0.0,1.216170858,2023-07-18 12:00
29167,ACTIVE,2.2,0.0,0.0,1.216170858,2023-07-18 12:00
41541473,ACTIVE,2.0,0.0,0.0,1.216173007,2023-07-18 12:00
29176,ACTIVE,2.0,0.0,0.0,1.216173007,2023-07-18 12:00
29158,ACTIVE,,0.0,0.0,1.216173157,2023-07-18 12:00
7100972,ACTIVE,,0.0,0.0,1.216173157,2023-07-18 12:00
29170,ACTIVE,,0.0,0.0,1.216173271,2023-07-18 12:00
29168,ACTIVE,,0.0,0.0,1.216173271,2023-07-18 12:00
6266193,ACTIVE,2.42,0.0,0.0,1.216173334,2023-07-18 12:00
50291,ACTIVE,1.71,0.0,0.0,1.216173334,2023-07-18 12:00
29157,ACTIVE,,0.0,0.0,1.226143650,2024-03-14 00:00
29176,ACTIVE,,0.0,0.0,1.226143650,2024-03-14 00:00
29158,ACTIVE,,0.0,0.0,1.226143651,2024-03-14 00:00
29175,ACTIVE,,0.0,0.0,1.226143651,2024-03-14 00:00
29167,ACTIVE,,0.0,0.0,1.226143652,2024-03-14 00:00
29163,ACTIVE,,0.0,0.0,1.226143652,2024-03-14 00:00
29168,ACTIVE,,0.0,0.0,1.226143653,2024-03-14 00:00
41541473,ACTIVE,,0.0,0.0,1.226143653,2024-03-14 00:00
29170,ACTIVE,,0.0,0.0,1.226143654,2024-03-14 00:00
1033687,ACTIVE,,0.0,0.0,1.226143654,2024-03-14 00:00
29179,ACTIVE,,0.0,0.0,1.226143655,2024-03-14 00:00
29165,ACTIVE,,0.0,0.0,1.226143655,2024-03-14 00:00
